name,waters,characteristics,size,distribution,image
Blacklip Abalone,Saltwater,"Blacklip Abalone is a member of the family Haliotidae. They possess a single, ear-shaped shell lined with mother of pearl and spirally ridged on the outside. The foot of the abalone has a distinct black lip giving the species its name. Blacklip Abalone feed on drift algae and graze on seagrass leaves and algae growing on rocks. Their diet is predominantly comprised of red algae.",Blacklip Abalone can grow to 21 cm in length.,"Blacklip Abalone (also known as Brownlip Abalone) are endemic to Australia and are found from mid NSW down and along the southern coastline to Rottnest Island in Western Australia. They are also found in the coastal waters of Tasmania. Abalone adhere to rocky surfaces and inhabit crevices and caves on reefs. They generally inhabit waters between 5 and 10 m in depth, but can be found in deeper waters up to 40 m in depth.",https://www.dpi.nsw.gov.au/__data/assets/image/0008/584936/abalone.jpg
Blue Groper,Saltwater,"Yellow lines around eyes, prominent fleshy lips and large peg-like teeth. The colour is very variable with adults: males a vivid blue, females reddish brown and the juveniles a greyish brown, brownish orange or green. Diet consists of crabs, prawns, shellfish and sea urchins.",Maximum of close to 50 kg and a length of over 1 m.,"Blue Groper are found in rocky reef areas along the east coast, between Hervey Bay and Wilson's Promontory.",https://www.dpi.nsw.gov.au/__data/assets/image/0007/163609/blue-groper-male.jpg
Blue Swimmer Crab,Saltwater,"Blue Swimmer Crabs, also known as Sand Crabs or Blue Manna Crabs, are swimming crabs that have their last pair of legs modified to act as paddles. Their claws are long and slender and the shell is rough in texture. The carapace is broad, with a prominent spine on each side. The colours vary from dark brown, blue and purple, with pale mottling. Adult crabs are frequently found in large numbers in shallow bays and estuaries, particularly during the summer months. Blue Swimmer Crabs are highly regarded for their taste.","Maximum length of about 21 cm across the carapace (shell), and a weight of up to 1 kg.","Blue Swimmer Crabs are found in coastal waters from Cape Naturaliste in Western Australia, around the top end to NSW. The Victorian border is the southern limit for distribution of the species on the east coast.",https://www.dpi.nsw.gov.au/__data/assets/image/0005/117473/blue-crab.jpg
Blue-eye Trevalla,Saltwater,"The colour of the Blue-eye varies from silvery with a steel blue back to pinkish brown with a purplish tinge. The eye of the fish is a deep blue with a golden ring. The caudal fin of the fish is forked and the fins are generally a dark metallic grey. The flesh is firm and white and very good eating. Blue-eye Trevalla is also known as Deep-sea Trevalla, Blue Eye Cod and Blue Eye.",Maximum weight of around 40 kg and 140 cm in length.,Blue-eye Trevalla occurs over rocky bottoms in deep offshore waters of southern Australia (except for WA). It occurs at depths of 400-600 m.,https://www.dpi.nsw.gov.au/__data/assets/image/0009/163458/blue-eye-cod.jpg
Bluefish,Saltwater,These fish are a bright blue colour of the head and body and the yellowish spots that cover the sides of the fish.,Found to a maximum size of approximately 76 cm.,Occasionally found on coastal reefs of NSW but preferring offshore areas such as Lord Howe Island.,https://www.dpi.nsw.gov.au/__data/assets/image/0003/163983/bluefish.jpg
Bonito,Saltwater,"These fish have horizontal stripes running down their upper and middle flanks with a green/blue colouration dorsally fading to a lighter green then silver on the belly. Bonito have moderately large, strong jaws which carry a single row of relatively small, but distinct, conical teeth.",May reach a total length of around 100 cm.,May reach a total length of around 100 cm.,https://www.dpi.nsw.gov.au/__data/assets/image/0004/164119/bonito.jpg
Brook Trout,Freshwater,"Brook Trout are a slender and elongated fish that generally resemble a Brown Trout in form. Brook Trout can be differentiated by their large mouth which extends beyond the level of the eye. They have an olive-green background body colour with pale, worm-like lines and spots. The pelvic, pectoral and anal fins are dark grey with a prominent white anterior margin.","The Brook Trout is much smaller than other trout species, usually weighing in at approximately 2 kg but has been recorded to 4 kg in Australia.",Brook Trout were introduced from North America in the early 1900s. Populations are maintained by stocking of hatchery-reared fish. Brook Trout live in cool waters of streams and lakes.,https://www.dpi.nsw.gov.au/__data/assets/image/0011/160031/brook-trout.jpg
Brown Trout,Freshwater,"The Brown Trout is a thick bodied species with a large head, mouth and moderate to large eyes. The mouth extends to below the eyes. Colours can vary depending on factors such as age and habitat. Generally silver to olive-brownish and darker along the dorsal area. They display dark spots along the back and sides, but these can sometimes be indistinct. Most spots are surrounded by a pale halo and are often red below the mid-line.","In Australia they are known to reach at least 90 cm and can weigh up to 14 kg, but the most commonly caught fish weigh below 3 kg.","Imported from England, the brown trout is possibly the most important sport fish to be introduced in Australia. It is commonly found in cool waters, mostly above 600 m, with moderate to swift flow and also in cool, clear lakes and reservoirs.",https://www.dpi.nsw.gov.au/__data/assets/image/0013/160033/brown-trout.jpg
Cobia,Saltwater,Cobia are best recognised by their very short spines of the first dorsal fin as well as distinctive pale and dark horizontal banding along the side of the fish. At first glance they appear shark-like and have a broad flattened head and slightly overlapping lower jaw. Juvenile Cobia have a rounded tail whereas adults have a forked tail.,Maximum length of 2 m and a weight of approximately 65 kg.,Generally found in the more northern waters of NSW but has been recorded as far south as Jervis Bay.,https://www.dpi.nsw.gov.au/__data/assets/image/0014/351041/Cobia.jpg
Cockles,Saltwater,"Cockles are bivalve molluscs belonging to the family's Arcidae and Veneridae. The shells (valves) are oval and oblique in shape with outward radiating ribs on the surface. They are usually white, cream or light brown in colour.","The Sydney Cockle can attain a maximum diameter of 8 cm, whilst the Sand Cockle reaches 4-5 cm.","Cockles are also known as Venus shells and can be found from NSW to southern Western Australia, including Tasmania. Sydney Cockle, A. trapezius, inhabits estuaries, mud flats and seagrass beds. Sand Cockle, K. scalarina, inhabits tidal flats and estuary mouths on protected or sandy subtidal sediment underlying seagrass beds to about 5 m depth.",https://www.dpi.nsw.gov.au/__data/assets/image/0010/584641/Cockle.jpg
Commercial Scallop,Saltwater,"The Commercial Scallop is a bivalve mollusc like all scallops belonging to the family Pectinidae. This species is distinguished from other scallops by having equal-sized, circular shaped shells that are thin, but strengthened by radiating ribs. The upper valve is flat, whilst the lower valve is deeply convex. Scallops are filter feeders, feeding on plankton and detritus.","This species can reach a maximum length of over 14 cm, but are commonly found between 8-9 cm in length.","This species of scallop (also known as the Southern Scallop and Tasmanian Scallop) is distributed throughout southern Australia, from mid NSW to mid Western Australia including Tasmania. Scallops are benthic organisms, found buried in soft sand or muddy sediments at depths from 1-120 m.",https://www.dpi.nsw.gov.au/__data/assets/image/0003/584940/Scallop.jpg
Cunjevoi,Saltwater,"Cunjevoi can be distinguished from other pyura spp. by its hard tunic, a flat upper surface surrounded by a ridge, and two siphons that lie close together and project slightly above the flat surface. Anglers fishing from rock platforms often use Cunjevoi's orange coloured organs as bait.",Grow to a maximum height of 30 cm.,"Inhabits intertidal areas from Shark Bay in Western Australia, around the southern coast (including Tasmania) to Noosa Heads in Queensland. Cunjevoi forms large mats, covering rock platforms and wharf pylons, to a depth of approximately 12 m.",https://www.dpi.nsw.gov.au/__data/assets/image/0008/116000/cunji.jpg
Cuttlefish,Saltwater,"Cuttlefish have a more rounded body when compared to a squid and also have a much more rigid 'cuttlebone'. These invertebrates have a small fin that rings nearly the entire mantle, 8 arms and two much longer tentacles used to catch prey. The eyes are large and are located forward on the head. This creature is able to change colour and produce protrusions from its skin to mimic its environment.","The Australian Giant Cuttlefish has been recorded over 40 cm mantle length and more than 5 kg in weight. More common, smaller species rarely grow more than 20 cm mantle length.",Several species of cuttlefish inhabit NSW waters ranging from the shallow inshore reefs and weeds beds to deep offshore areas.  ,
Eastern Red Scorpionfish (Red Rock Cod),Saltwater,"The Eastern Red Scorpionfish colouration is highly variable from light grey/brown to bright red with blotches or may also be a mottling of all these colours and blotches. They have skin flaps on the head, lateral line and other parts of the body, 12 venomous spines on the dorsal fin and a very large mouth.",May attain a total length of approximately 45 cm.,Common on NSW coastal reefs,https://www.dpi.nsw.gov.au/__data/assets/image/0004/164236/red-rock-cod-Scorpionfish.jpg
Eastern Rock Lobster,Saltwater,"Eastern Rock Lobster have a green body and brownish-orange legs. Their abdominal segments are smooth and unsculptured on their dorsal surface. They generally move into deeper water in early winter, and return closer to the shoreline in late August.",Maximum weight of 8 kg and a carapace length of 26 cm (1 m including the antennas).,"Eastern Rock Lobsters inhabit the continental shelf along the east coast of Australia, from Tweed Heads in New South Wales, around Tasmania, through to Port MacDonnell in South Australia. They hide in holes and crevices around rocky areas and reefs, preferring vegetative cover such as weed/kelp.",https://www.dpi.nsw.gov.au/__data/assets/image/0018/117540/lobster.jpg
Eastern School Whiting,Saltwater,Eastern School Whiting are a member of the family Sillaginidae. They have a silver stripe along each side. Above this stripe is a row of red/brown blotches and narrow red/brown bars.  ,"Eastern School Whiting can attain a length or 32 cm, although the majority caught are between 15-20 cm.  ","Eastern School Whiting, also known as red spot whiting or trawl whiting, occur in ocean waters to a depth of 100 m, from southern Queensland to eastern Victoria and north-eastern Tasmania.  ",https://www.dpi.nsw.gov.au/__data/assets/image/0009/584982/Eastern-School-Whiting.JPG
Eels (Short and Long-finned),Freshwater and saltwater,"Long-finned Eels have an olive-green, heavily mottled back and sides and a silvery-white to pale yellow belly. They are the largest freshwater eel in Australia, with females growing much larger than males. It is a good recreational species because of its large size and strength. Commonly caught at night on baited hooks, particularly pieces of fish and earthworms.",Reaches a maximum length of approximately 1.7 m and 22 kg in weight. Commonly found up to 1 m in length.,"The Long-finned Eel is found in freshwater rivers, streams, dams, lagoons and lakes on the coastal side of the Great Dividing Range, from Cape York in northern Queensland southwards through NSW into Victoria and Tasmania.",https://www.dpi.nsw.gov.au/__data/assets/image/0006/116187/eel.jpg
Estuary Perch,Saltwater,"The body of an Estuary Perch is slightly deeper than that of the Australian Bass, the snout profile is concave and the snout noticeably longer than that of the Australian Bass. The Estuary Perch is a dark grey to silvery on the back becoming paler below. All fins are dark except the outer half of the rear section of the anal fin.",Ault fish may attain a total length of about 75 cm and a total weight of 10 kg.,"The Estuary Perch lives in coastal rivers and lakes in an area from the Richmond River (NSW) in the north, to the Murray River (South Australia) in the West and as far south as the Arthur and Ansons Rivers (Tasmania).",https://www.dpi.nsw.gov.au/__data/assets/image/0019/119107/estuary-perch.jpg
Flathead (Bluespotted),Saltwater,"The Northern Flathead has a pale brown body speckled with pinkish-red spots. The caudal fin (tail) is the best way to identify the northern sand flathead, with a pattern of almost horizontal flag-like black stripes across the tail (three distinct black bars on the upper portion and two on the lower portion of the caudal fin). Unlike many other flathead species, the northern sand flathead sporadically appears in schools.","The Northern Flathead is one of the smaller species of flathead, growing to a maximum length of 45 cm (approximately 0.7 kg).","The Northern Flathead (P. arenarius), sometimes known as the flag-tailed flathead, is endemic to Australian waters and is commonly found along beaches and in estuaries of Northern NSW. Its range extends through Queensland into the Northern Territory and as far south as Carnarvon in Western Australia. It has been recorded as far south as Jervis Bay on the east coast.",https://www.dpi.nsw.gov.au/__data/assets/image/0006/163419/f-head-sand.jpg
Flathead (Dusky),Saltwater,Colour varies from sandy with brown spots and blotches to dark brown/black with white spots. They have a distinctive black spot on their caudal fins. Dark bars are often visible across the rear of the body. The preopercular spines on each side of the head are very sharp and should be avoided when handling the fish.,Maximum 15 kg and a length of 1.5 m.,"Dusky Flathead are found in estuaries and coastal bays, from Cairns in Queensland to the Gippsland Lakes in Victoria. They occur over sand, mud, gravel and seagrass and can inhabit estuarine waters up to the tidal limit. They are more commonly caught during the summer months.",https://www.dpi.nsw.gov.au/__data/assets/image/0014/116213/f-head-dusky.jpg
Flathead (Tiger),Saltwater,"Bright orange/brown spots on the head and body, with red/brown spots on upper half of the tail. They have large teeth on the roof of their mouth and a sharp spine on each side of the head. Considered good eating.",Maximum of 3 kg and 65 cm in length.,"Tiger Flathead are found from the NSW north coast south through to Portland in Victoria, including Bass Straight and Tasmania. This species is predominantly found offshore but Tiger Flathead also inhabit shallow coastal bays. Tiger Flathead are more common south of Nowra.",https://www.dpi.nsw.gov.au/__data/assets/image/0016/163420/f-head-tiger.jpg
Flounder,Saltwater,"These fish are laterally flattened bottom dwellers with both eyes on one side. They have distinct colouration such as spots, irregular blotches and rings on one side of their body with the other being pale.",These fish range in total length about from 34 cm to approx. 55 cm.,"Various species inhabit NSW waters including the large-toothed and small-toothed Flounder that are found throughout as well as long-snouted and greenback flounder, found in southern NSW. They are commonly found in bays and estuaries on sandy or silty bottoms.",https://www.dpi.nsw.gov.au/__data/assets/image/0012/164001/flounder.jpg
Freshwater Catfish,Freshwater,"Colour ranges from grey to brown dorsally or laterally, usually mottled with dark brown to black blotchings with a whitish underbelly. Larger fish have less mottlings and can be more green in colour fading to white below. It builds a nest in areas of still water to breed, and its reproduction is not temperature reliant. Catfish feed on zooplankton, small fish, shrimps and insects. Catfish are relatively inactive and do not migrate for spawning, unlike other inland species such as trout, golden perch or Murray cod.","Can grow up to 900 mm and 7 kg, however fish over 2 kg are exceptional.","Freshwater Catfish were formerly very abundant across most of the Murray-Darling Basin in inland NSW. Prior to the 1980s, they provided recreational fishing opportunities and they are still considered one of the premier table fish by many country people. However, catfish numbers declined substantially following the invasion of carp during the 1970s and 80s. In addition to carp, thermal pollution and season flow reversal also have major impacts in affected reaches. Catfish have virtually disappeared from the Murray, Murrumbidgee and Lachlan catchments. Catfish are still relatively common in parts of the Macquarie, Namoi, Gwydir and Border River catchments and coastal catchments North of Newcastle.",https://www.dpi.nsw.gov.au/__data/assets/image/0003/164487/eel-tail-catfish.jpg
Garfish,Saltwater,"These fish are a pale, greenish blue on the back and upper sides and have a blue edged silver band along the sides. They also have three narrow brown lines along the back, above the silver band.",Known to attain 40 cm total length.,"Sea garfish are endemic only to Australian waters and live in sheltered bays, clear coastal waters and some estuaries to waters about 20 m deep. These fish school near the surface at night and over weed and seagrass beds during the day.",https://www.dpi.nsw.gov.au/__data/assets/image/0018/164133/garfish.jpg
Gemfish,Saltwater,"The Gemfish is a member of the family Gempylidae, which includes the snoek or barracouta. Gemfish is generally a silvery colour which darkens to a more bluish to purplish tinge after capture. The first dorsal fin has a large black blotch near outer margin between the first three spines and the second dorsal, anal and caudal fins are all orange.

Gemfish is considered to be a very good eating fish with a delicate flavour and the thick white fillets are extremely tasty grilled, baked, smoked or fried. Gemfish are also known as Hake. A large commercial fishery was developed for gemfish off NSW in the 1970s with catches peaking in 1980 at 5,000 tonnes however, the fishery has collapsed with trawl catches currently at 100 tonnes or less per year.",Maximum weight of around 40 kg and 1.35 m in length.,"Gemfish are a bottom dwelling fish which inhabitat deep water off the New South Wales, Victoria, South Australia and Tasmanian coasts. Generally found in large schools at depths of 100-800 m.",https://www.dpi.nsw.gov.au/__data/assets/image/0006/116259/gemfish.jpg
Golden Perch,Freshwater,"This species is a member of the family Percichthyidae. Adult perch are moderate to large in size and are bronze, olive green to brownish in colour overall with a yellow ventral surface. The forehead is distinctly concave above the eyes and the lower jaw is protruding. Juvenile golden perch feed on zooplankton (microscopic animals) while adults feed on fishes, molluscs and crayfish.","Golden Perch have been recorded up to 76 cm in length and 23 kg in weight. However, they are commonly measured between 40-50 cm in length and 5 kg in weight. Those fish stocked in impoundments generally reach larger sizes than those occurring naturally in river systems.","Golden Perch, also known as yellowbelly, callop, perch, Murray Perch or white perch, naturally inhabit the Murray-Darling river system (except at high elevations) and exist in the internal drainage systems of Lake Eyre and the Bulloo River. Recent evidence suggests that there may be a genetic difference between populations resulting in the existence of a separate species. The abundance of golden perch has dramatically decreased in the Murray-Darling due to migration obstruction and the alteration of flow regimes and temperature stratification following the construction of weirs and dams. Golden Perch have been translocated into other rivers of NSW, Queensland and the Northern Territory. They prefer warm, slow moving, turbid streams.",https://www.dpi.nsw.gov.au/__data/assets/image/0019/118234/golden-perch.jpg
Grey Morwong (Rubber Lip),Saltwater,"Morwong are characterised by an extended middle section of the pectoral fin. Grey or Rubber Lip Morwong tend to be a pale, silvery blue with the occasional hint of brown or green. These fish have much larger, thicker lips than the similar Jackass Morwong. These fish are characterised by a extended middle section of the pectoral fin.",Adult fish may attain a total length of approximately 80 cm and a total weight of 4 kg.,Grey or Rubberlip Morwong inhabit the continental shelf waters from Moreton Bay in the north to central Victoria and can be found as far south as Tasmania. These fish are commonly caught on or near reefs in water depths of 10-100 m.,https://www.dpi.nsw.gov.au/__data/assets/image/0008/163448/morwong-rubber-lip.jpg
Hapuku,Saltwater,"Hapuka is a heavy-bodied, square-tailed fish, with a base colour that varies from silvery-blue to pinkish-brown. The distinctive head shape and unusually large mouth best identify this species, with the gape of its mouth extending back beyond the rear border of the eye.","Inhabits deep offshore waters to approximately 200 fathoms in southern NSW, Victoria, Tasmania, South Australia and southern Western Australia.",Reaches a maximum length of approximately 1.8 m and 70 kg in weight.,https://www.dpi.nsw.gov.au/__data/assets/image/0017/116234/harpuka.jpg
Leatherjacket,Saltwater,"Several features set Leatherjackets apart from other fish species, these include: a small mouth with beak-like teeth, rough sometimes sandpaper like skin, small gill openings, and a single serrated spine on the top of the head that fits neatly into a groove. Most Leatherjackets are considered opportunistic feeders and readily feed on many different items including algae, crustaceans, molluscs, fish and polychaete worms.",Are generally found under 1 kg in weight but some offshore species can grow to 3 kg.,"There are more than 20 species of Leatherjackets found throughout NSW waters and, depending on the species, can be caught in estuarine, coastal and offshore waters to depths of 250 m or more. In estuarine waters these fish are often found around artificial structures such as pylons and wharfs or are found near seagrass beds e.g. Fan-belly, Six Spine and Rough Leatherjackets. In coastal and offshore areas they can be found on rocky reefs, sand/mud bottom or in sponge beds e.g. Six Spine, Yellow-finned, Black Reef, Velvet and Chinaman Leatherjackets.",https://www.dpi.nsw.gov.au/__data/assets/image/0015/164112/leatherjacket.jpg
Longtail Tuna,Saltwater,"Longtail Tuna, also known as Northern Bluefin Tuna, are a member of the family Scombridae. These dark blue-backed fish are recognised by their short pectoral fins and slender bodies. Longtail Tuna are also distinguished by the presence of elongated, colourless spots on the underside and belly, between the pectoral and anal fins.",Longtail Tuna reach a maximum length of 1.5 m and up to 32 kg in weight. The majority of fish caught by anglers weigh less than 15 kg.,"Longtail Tuna are a tropical species that frequently occur in more southern waters of Australia's east and west coasts during summer. They are generally distributed throughout waters of northern Australia, from Cockburn Sound in Western Australia to southern NSW (Twofold Bay, Eden).",https://www.dpi.nsw.gov.au/__data/assets/image/0004/164551/tuna-Longtail.jpg
Luderick,Saltwater,"Luderick are generally dark green/brown in colour with a silvery-grey belly. They possess 8-12 dark, narrow vertical bands across the back. They are mainly herbivorous, feeding on seagrass and green algae, and sometimes molluscs, prawns and polychaete worms. Angling for Luderick has a 'cult-like' following. Long, flexible rods, very small hooks and pencil floats are commonly used, with green weed the preferred bait. Most luderick are caught in winter.",Maximum of approximately 4 kg and a length of 70 cm.,"Generally restricted to shallow coastal waters and estuaries along the east coast, between southern Queensland (around Noosa Heads) and Tasmania. Luderick are often found in large schools around rocky outcrops and jetties.",https://www.dpi.nsw.gov.au/__data/assets/image/0008/116378/luderick.jpg
Mackerel (Narrow-barred Spanish),Saltwater,"The upper body varies from bright blue to dark grey in colour that fades to a silvery-blue over the sides. More than 40 narrow grey-blue wavy, vertical bars are present on each side of the fish. The large dip in the lateral line below the second dorsal fin is a clear diagnostic feature of the Narrow-barred Mackerel.","This is the largest of the Australian Mackerels, reaching a maximum length of approximately 2.4 m and 70 kg in weight.","Narrow-barred Mackerel, known internationally as Tanguigue, inhabit coastal waters from Perth, Western Australia, around the Top End to Bermagui in NSW. Spanish Mackerel have also been caught in Victorian and Tasmanian waters.",https://www.dpi.nsw.gov.au/__data/assets/image/0006/163428/spanish-mackerel.jpg
Mackerel (Spotted),Saltwater,"These fish are distinguished from other mackerel and tuna by having strong teeth in both jaws, two small keels and one median keel on the tail wrist. Spotted Mackerel have a faint band of small round spots along their sides and their dorsal fin is almost uniformly black-blue.",Have been recorded to a maximum size of approximately 100 cm.,"These fish are endemic to Australasian waters and are found in northern NSW, extending southwards with the warm currents. They are most common in offshore waters away from reefs and shoals.",https://www.dpi.nsw.gov.au/__data/assets/image/0003/164154/mackerel-spotted.jpg
Mahi Mahi (Dolphinfish),Saltwater,"Colours of these fish vary from a silver/white to yellow/green with iridescent blue spots. These fish have a narrow body, a high head profile (particularly large in males) and a high dorsal fin that runs nearly the length of the fish. The eyes are located quite low on the head.",May attain a maximum size of approximately 200 cm.,"A schooling tropical species that arrives off the NSW coast with the warmer currents, usually during summer. These fish generally prefer offshore conditions and can often be found around floating objects such as fish trap buoys, weed rafts or Fish Aggregation Devices.",https://www.dpi.nsw.gov.au/__data/assets/image/0011/163964/dolphinfish.jpg
Mangrove Jack,Saltwater,"The colour of Mangrove Jack is quite distinctive, varying from bright reddish-brown to dark olive-brown. Fins have a pinkish hue, with the tail generally a darker shade. Each scale has a dark spot, which gives the appearance of cris-crossing lines on the body. Juveniles possess a blue line below the eye, which is also often evident on the adult. The Mangrove Jack is an extremely strong fighter and regularly finds shelter among submerged snags, making them a very challenging recreational species.",Reaches a maximum length of approximately 1.2 m and 16 kg in weight.,"Mangrove Jack inhabit coastal waters and rivers from Shark Bay in Western Australia through Torres Straight and Queensland, south to Lake Illawarra in NSW. They are occasionally found in more southern estuaries of NSW.",https://www.dpi.nsw.gov.au/__data/assets/image/0003/116391/man-jack.jpg
